,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8
Seg_size,8950.0,2763.0,4667.0,1520.0,2443.0,1720.0,3646.0,1141.0,1880.0,1017.0,1716.0,3559.0,778.0,1760.0,949.0,727.0,914.0,1439.0,3161.0,1447.0,1753.0,1834.0,1793.0,704.0,618.0,801.0,368.0,1801.0,1772.0,1625.0,1125.0,695.0,137.0,1427.0
Seg_Pct,1.0,0.3087150837988827,0.5214525139664804,0.16983240223463686,0.2729608938547486,0.19217877094972066,0.40737430167597766,0.12748603351955307,0.2100558659217877,0.11363128491620111,0.191731843575419,0.3976536312849162,0.08692737430167598,0.19664804469273742,0.10603351955307262,0.08122905027932961,0.10212290502793296,0.16078212290502794,0.3531843575418994,0.1616759776536313,0.1958659217877095,0.20491620111731843,0.20033519553072626,0.07865921787709497,0.06905027932960894,0.08949720670391062,0.04111731843575419,0.2012290502793296,0.19798882681564245,0.18156424581005587,0.12569832402234637,0.0776536312849162,0.015307262569832402,0.1594413407821229
BALANCE,1541.0466889385496,2511.2347188201265,783.6388534176167,2103.0156638157855,2411.5899205075752,1231.3136288372098,867.3788361492057,2296.696767747587,1873.0213323404262,2220.320932645032,1084.7572046620069,846.424361758922,4034.9019357326465,2044.7114088068176,55.54569146469965,4094.004950481429,2279.135388402623,1330.545281792912,1001.8465424865544,1325.5995926053909,2041.9338616657146,645.8259489094879,1446.2424982710543,4136.791470880681,2526.551819579288,54.2414310861423,3012.2669497282623,1926.6280181565783,1508.73417663657,1166.4279847384628,1497.8000839999984,4112.454238129496,22.703322627737204,69.22423714085481
BALANCE_FREQUENCY,0.8782301675977594,0.9135903003981183,0.8235461752731954,0.9818552631578958,0.8975849365534196,0.8245813953488375,0.8579648930334627,0.9824189307624897,0.8770425531914903,0.982251720747296,0.7915384615384613,0.871298117448723,0.9680462724935728,0.9317784090909109,0.33385669125395273,0.9669738651994495,0.9812144420131291,0.9061779013203625,0.9489370452388498,0.9045611610228069,0.9315231032515704,0.9102235550708857,0.9628443948689371,0.9657670454545451,0.9832038834951456,0.29344569288389805,0.9858695652173914,0.8916990560799567,0.9759988713318303,0.8302338461538465,0.9761777777777778,0.9668633093525175,0.2535036496350364,0.7063139453398736
PURCHASES,936.2292368715101,127.34908432862818,597.3384272551948,3447.1103355263162,74.96985264019646,639.5262790697678,695.9304415798125,3995.4011656441708,4.600042553191489,4223.322625368731,602.615081585082,734.1883394211842,550.6692802056558,7.293920454545455,298.13972602739744,563.0387207702892,4460.669967177245,661.8349061848508,836.6712559316666,673.0811886662061,6.548625213918997,612.9658942202846,1316.4920468488567,538.1340340909093,5346.439595469258,282.431622971286,6565.3123641304455,2.492254303164908,637.7386173814893,639.446978461539,2315.970577777777,542.0890215827341,458.73781021897804,521.7155921513672
ONEOFF_PURCHASES,536.4937740782138,89.20212812160685,295.03530747803677,2090.9368539473667,41.499905853458884,639.580889534884,205.3614015359302,2499.043127081509,0.19616489361702125,2663.9006291052133,599.0809906759912,224.80262433267825,339.29052467866296,0.9891022727272727,137.4824552160168,343.4313317744151,2821.0678225382953,661.8863446838084,281.1839892439107,673.1461022805807,0.1846662863662293,14.201194111232281,760.9859788064683,332.7103383522724,3369.2471841423917,150.23403245942563,4178.323042934783,0.0,185.47608916478598,639.504781538462,1392.1619822222228,341.10939309352483,189.15715328467152,46.93042046250876
INSTALLMENTS_PURCHASES,384.4983681564239,38.19099167571481,302.7136533104769,1265.1145164473699,33.519750306999605,0.0,490.88598793197923,1375.6365758106938,4.450127659574467,1426.2312020648983,3.58882867132867,509.71041078954664,208.48231426735202,6.354221590909091,160.97002107481572,216.50775859697376,1491.4018845733049,0.013835997220291869,555.7589503321725,0.0,6.413559612093556,597.4984640130872,555.7047127718918,202.22279900568176,1762.9483357605168,132.28435705368292,2034.378421195651,2.5405330372015538,452.73084678329695,0.0,918.5132928888893,197.737281294964,269.5806569343065,475.1977298528386
CASH_ADVANCE,935.9209939664796,2324.666845313063,212.70181701307058,632.0783042105267,2270.063329676626,590.272170232558,271.5607395501922,723.3563474145493,1426.4285329787242,474.65499705014713,432.46761072261074,233.00847991008715,4679.552084832903,1464.9491488636368,254.33664531085353,4809.877861898211,486.2235032822753,528.734781097985,270.413818411895,523.9587353144439,1446.4200716486023,189.67382224645584,396.44451199107675,4906.192337499999,527.3586601941746,304.8643730337079,583.9577326086958,1458.9485317046085,472.1532279909712,463.47963692307695,344.57714666666647,4938.654688345323,389.1568350364965,49.6786475122635
PURCHASES_FREQUENCY,0.4902167597765341,0.0960694896851251,0.5776323119777135,0.9382828947368437,0.06345886205485059,0.3161802325581389,0.7157871640153599,0.9455039439088513,0.009085106382978722,0.9477384464110115,0.3047027972027958,0.732865973588087,0.3539460154241645,0.012261363636363633,0.2874710221285567,0.35693259972489694,0.9479540481400424,0.33996525364836566,0.7839038279025634,0.34161022805805,0.012544209925841415,0.7916848418756831,0.7776073619631905,0.33835227272727286,0.9534951456310676,0.24654182272159803,0.9504619565217396,0.004602998334258745,0.6972573363431148,0.31705846153846,0.9189866666666656,0.32532374100719424,0.42824817518248165,0.672733006306937
ONEOFF_PURCHASES_FREQUENCY,0.2021765363128463,0.04761491132826633,0.1563852581958448,0.623730263157895,0.02271796970937371,0.31598255813953424,0.11463247394404781,0.6946012269938647,0.00022340425531914895,0.7100491642084557,0.29889860139859986,0.1245743186288278,0.16795629820051403,0.000375,0.04757639620653305,0.1692572214580467,0.7214004376367605,0.33967338429464783,0.1557956342929447,0.3413752591568751,0.00018824871648602396,0.008685932388222465,0.38407138873396707,0.1594176136363636,0.7386245954692555,0.05232209737827699,0.7588858695652171,0.0,0.10500564334085828,0.3168492307692292,0.5989955555555554,0.16260431654676255,0.060218978102189784,0.02391730903994389
